cohort,outcome,percentile_threshold,group_kind,group_value,status,reason,n_outcome_valid,n_in_top,n_group_total,pct_of_top,pct_of_sample,representation_ratio,threshold_value,source_data
nlsy97,household_income,99,race,BLACK,computed,,4844,19,1277,0.133803,0.263625,0.5075,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race,HISPANIC,computed,,4844,9,930,0.06338,0.19199,0.3301,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race,"NON-BLACK, NON-HISPANIC",computed,,4844,114,2637,0.802817,0.544385,1.4747,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,sex,male,computed,,4844,78,2343,0.549296,0.483691,1.1356,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,sex,female,computed,,4844,64,2501,0.450704,0.516309,0.8729,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,BLACK|male,computed,,4844,7,570,0.049296,0.117671,0.4189,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,BLACK|female,computed,,4844,12,707,0.084507,0.145954,0.579,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,HISPANIC|male,computed,,4844,7,447,0.049296,0.092279,0.5342,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,HISPANIC|female,computed,,4844,2,483,0.014085,0.099711,0.1413,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4844,64,1326,0.450704,0.273741,1.6465,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4844,50,1311,0.352113,0.270644,1.301,599728.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race,BLACK,computed,,5297,53,1402,0.099812,0.264678,0.3771,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race,HISPANIC,computed,,5297,67,1050,0.126177,0.198225,0.6365,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race,"NON-BLACK, NON-HISPANIC",computed,,5297,411,2845,0.774011,0.537096,1.4411,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,sex,male,computed,,5297,280,2682,0.527307,0.506324,1.0414,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,sex,female,computed,,5297,251,2615,0.472693,0.493676,0.9575,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,BLACK|male,computed,,5297,23,668,0.043315,0.126109,0.3435,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,BLACK|female,computed,,5297,30,734,0.056497,0.138569,0.4077,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,HISPANIC|male,computed,,5297,36,534,0.067797,0.100812,0.6725,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,HISPANIC|female,computed,,5297,31,516,0.05838,0.097414,0.5993,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,5297,221,1480,0.416196,0.279403,1.4896,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,5297,190,1365,0.357815,0.257693,1.3885,173500.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,99,race,BLACK,computed,,5297,3,1402,0.041667,0.264678,0.1574,600000.0,data/processed/nlsy97_cfa_resid.csv
